Kategori;Ad;Yorum;islemci;hafiza;Kalite;Batarya;Ortalama;Genel_Ortalama;Sonuc
Bilgisayar;Lenovo IdeaPad Gaming 3 AMD Ryzen 5 ;BENCE HARÝKULADE BÝR BÝLGÝSAYAR. BU ÖZELLÝKTE BU FÝYATA ALMAK ÝMKANSIZ DENÝLEBÝLÝR. OYUNLARDA SIFIR SORUN AMA ISININCA KLÝMA ÇALIÞIYOR ALTINDA SANKÝ FAN SESÝ ÇOK YÜKSEK. DÜÞÜNMEDEN ALINABÝLÝNÝR;5;5;5;5;5;4.8;Olumlu
Bilgisayar;Lenovo IdeaPad Gaming 3 AMD Ryzen 5 ;"öncelikle hepsiburadaya çok teþekkürler; sipariþimi bir gün içerisinde çok saðlam ve güzel paketlenmiþ olarak elime aldým. laptop a gelecek olursak zaten pc den anlayan arkadaþlar ayrýntýlý yazmýþlar yorumlarda, tasarýmý klavye kullanýmý çok güzel. tespit ettiðim tek olumsuz yaný  sesin az gelmesi onun dýþýnda çok kullanýþlý bir ürün.";5;5;5;5;5;4.8;Olumlu
Bilgisayar;Lenovo IdeaPad Gaming 3 AMD Ryzen 5 ;segmentinin fiyat\performans ürünü. kasa plastik ama bu fiyata gayet güzel.;5;5;5;5;5;4.8;Olumlu
Bilgisayar;Lenovo IdeaPad Gaming 3 AMD Ryzen 5 ;Bir ürünü övmeyi sevmem ama bence fiyatýna göre bu ürün çok çok iyi. Hiçbir kötü yanýný görmedim ,sadece þunu söyleyebilirim tuþlarý birazcýk hassas. Bence oyun bilgisayarýndan çok iþ bilgisayarý gibi ama performansý çok yüksek.;5;5;5;5;5;4.8;Olumlu
Bilgisayar;Lenovo IdeaPad Gaming 3 AMD Ryzen 5 ;Bilgisayar elime 1 saat önce ulaþtý. Sorunsuz þekilde Windows kurulumu yaptým. Kargo sadece 1 günde geldi. Özellik bakýmýndan bilgisayar süper fakat kullanýp da yorum yapmak gerek;5;5;5;5;5;4.8;Olumlu
Bilgisayar;Lenovo IdeaPad Gaming 3 AMD Ryzen 5 ;1 aydan uzun bir süredir kullanmaktayým ve gayet memnunum. Þimdiye kadar bir sorunla karþýlaþmadým. Hem kargolama hem performans açýsýndan gayet tatmin edici bir ürün.;5;5;5;5;5;4.8;Olumlu
Bilgisayar;Lenovo IdeaPad Gaming 3 AMD Ryzen 5 ;Tüm markalarý araþtýrdým, kýyaslama yaptým. Fiyat belirleyip özelliklere göre sýraladým. En iyisi olarak buna karar verdim. Dýþ görüntüsüne çok iyi. Bu fiyata alýnabilecek en güzel PC.;5;5;5;5;5;4.8;Olumlu
Bilgisayar;Lenovo IdeaPad Gaming 3 AMD Ryzen 5 ;F/p olarak en iyisi diyebilirim, malum döviz kurunda bu bile lüks geliyor, elden ne gelir.;5;5;5;5;5;4.8;Olumlu
Bilgisayar;Lenovo IdeaPad Gaming 3 AMD Ryzen 5 ;Hýzlý teslimat, çok saðlam paketleme, kusursuz teslim. Ürün ise gerçekten muhteþem. Güvenle alýnabilir.;5;5;5;5;5;4.8;Olumlu
Bilgisayar;Lenovo IdeaPad Gaming 3 AMD Ryzen 5 ;Lenovo bilgisayarý ikinci alýþým. Çok güzel bir urun. Ayrýca Hepsiburada çok hýzlý ve özenli gönderim yapýyor.;5;5;5;5;5;4.8;Olumlu
Bilgisayar;Lenovo IdeaPad Gaming 3 AMD Ryzen 5 ;Ürün gayet güzel paketlenmiþ satýcýya teþekkür ederim. Ürüne laf yok performansý tartýþýlmaz teþekkürler.;5;5;5;5;5;4.8;Olumlu
Bilgisayar;Lenovo IdeaPad Gaming 3 AMD Ryzen 5 ;Ýyi bir bilgisayar fakat fazla parmak izi býrakýyor ellerinizle herhangi bir yere dokunduðunuz anda hemen iz býrakýyor;5;5;5;5;5;4.8;Olumlu
Bilgisayar;Lenovo IdeaPad Gaming 3 AMD Ryzen 5 ;10 numara 5 yýldýz bi laptop. 4600h 1650ti ile çok iyi çalýþýyor. Ayrýca ram'i de 32 yaptým süper oldu.;5;5;5;5;5;4.8;Olumlu
Bilgisayar;Lenovo IdeaPad Gaming 3 AMD Ryzen 5 ;Fiyat performans olarak alýnabilecek en iyi ürün emsalleri kat kat üzerinde fiyat kýyas yapacak olursam bunu tercih ettim ve memnunum tavsiye ederim;5;5;5;5;5;4.8;Olumlu
Bilgisayar;Lenovo IdeaPad Gaming 3 AMD Ryzen 5 ;Bilgisayar performans olarak çok iyi fakat ses ortalama, kamera ise kötü.;5;5;5;5;5;4.8;Olumlu
